TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,LATITUDE,LONGITUDE,SUBWAY_STATION,DISTANCE,KINDERGARTEN,SCHOOL,COLLEGE,CAFE,BAR,PARKING,SUPERMARKET,ZIP_CODE
Co-op,2238000.0,2,2,1800.0,New York County,New York,Manhattan,399,40.7217139,-74.0103804,Greenwich St & Vesey St,1007.3071288388212,4.0,30.0,5.0,336.0,196.0,12.0,63.0,10013
Multi-family home,1795000.0,5,3,1800.0,New York,Kings County,Brooklyn,12th Street,40.6691888,-73.9919673,4th Ave - 9th Street (R) to Bay Ridge,309.1372100625646,57.0,26.0,0.0,156.0,74.0,0.0,47.0,11215
Co-op,549000.0,3,1,2184.207862,New York County,New York,Manhattan,60,40.7310966,-73.9926682,Bleecker Street & Lafayette Street at Northwest Corner,586.8418499690076,11.0,52.0,7.0,462.0,346.0,20.0,103.0,10003
Condo,2048800.0,4,4,3000.0,New York County,New York,Manhattan,55,40.7227325,-74.0101225,Greenwich St & Vesey St,1122.3244701512142,4.0,31.0,5.0,347.0,203.0,11.0,63.0,10013
Multi-family home,980000.0,5,3,3210.0,New York,Bronx County,The Bronx,Vyse Avenue,40.844215,-73.8799388,182-183 Street,2165.0067980657527,0.0,32.0,0.0,4.0,4.0,3.0,11.0,10460
Co-op,750000.0,3,3,2184.207862,New York County,New York,Manhattan,420,40.7540391,-73.9651308,East 53rd Street & 3rd Avenue at Southeast Corner,517.6620134044472,9.0,27.0,6.0,272.0,72.0,43.0,50.0,10022
Condo,349000.0,3,1,2184.207862,Queens County,Queens,Long Island City,43-33,40.7436341,-73.916415,Platform A,1092.3347738174411,0.0,8.0,0.0,66.0,37.0,3.0,23.0,11104
House,519999.0,3,2,1440.0,New York,Richmond County,Staten Island,Larkin Street,40.6396595,-74.1362682,Grove Street (PATH),11869.846193234958,0.0,2.0,0.0,2.0,1.0,0.0,1.0,10302
Pending,1649000.0,7,2,3162.0,New York,Kings County,Brooklyn,56th Street,40.6398568,-74.0109732,Church Ave,2672.4547263688687,5.0,12.0,0.0,62.0,15.0,0.0,32.0,11220
Multi-family home,1750000.0,7,3,2557.8831448,New York,Queens County,Queens,49th Street,40.7721299,-73.8960008,Platform C,2924.590988317952,0.0,4.0,0.0,35.0,35.0,0.0,18.0,11105
House,868000.0,3,2,2184.207862,New York,Queens County,Queens,72nd Place,40.7303886,-73.8912581,Elmhurst Avenue,1520.7421137952776,1.0,8.0,0.0,19.0,18.0,5.0,25.0,11378
Co-op,324900.0,1,1,665.0,New York County,New York,Manhattan,90,40.8709037,-73.9155681,190th St (A) lower level,1965.413616792522,0.0,22.0,0.0,5.0,8.0,7.0,13.0,10034
Condo,870000.0,1,1,620.0,New York County,New York,Manhattan,347,40.7681878,-73.9845086,53rd Street & 7th Avenue at Northeast Corner,631.4802716709293,2.0,31.0,4.0,286.0,109.0,42.0,38.0,10019
